row_index,employee,text_columns_used,comment_text,positive_score,negative_score,matched_phrases,basis
36,(unknown employee),body,"Hello Everyone,

There is a new version of the database.  Please install by Hitting your Start 
Button, Run, Type O:EOLEOL REPORTING DATABASEVIEW DATAEOL VIEW DATABASE 
INSTALLER.BAT.  The new version of the database will automatically shut you 
out for 15 minutes everyday when it is necessary to update with the current 
trading data.  We apologize for the inconvenience.

The old version of the database no longer contains any data.   Please be sure 
to update.

Thanks,

Carrie and Eugenio",0,1,,negative_word_score
37,(unknown employee),body,"Can't remember at this point what the question was!  Thanks for following up 
-- I will call you if I remember.  --Sally 




Rebecca Ford
07/26/2000 05:20 PM",0,1,,negative_word_score
47,(unknown employee),body,"This is the latest draft that I have of the matrix.  John has seen this 
version; I am not certain if he has seen any updates.  

Please let me know the outcome of your conversation with Fernley - I am 
somewhat discouraged by John's remarks and would like to get any 
misconceptions cleared up as soon as possible (whether I assume a position in 
London or not).",0,3,,negative_word_score
50,(unknown employee),body,"If you absolutely can not find enough of the right players to go on the 
cruise, let me know.  My husband is scheduled for a baseball game on 
Wednesday night.  If I could find some Diamond level tickets for another day 
for him, he might consider giving up his tickets for Wednesday night.  This 
is a last resort sort of measure, however, so I hope that you find success in 
response from others. But do let me know...",0,3,,negative_word_score
53,(unknown employee),body,"hey mom, thanks for the info. tough break for rush.  i was sorry to hear about that.  
 
things are going well.  just kind of slow.  i have my asthma test today - it is called a pulmonary function test.  
 
what do you want to do for your birthday.  do you want ot get together on friday or saturday and where?
 
let me know
 
L - Eric",0,1,,negative_word_score
61,(unknown employee),body,"I think we are making great progress on the systems side.  I would like to 
set a deadline of November 10th to have a plan on all North American projects 
(I'm ok if fundementals groups are excluded) that is signed off on by 
commercial, Sally's world, and Beth's world.  When I say signed off I mean 
that I want signitures on a piece of paper that everyone is onside with the 
plan for each project.  If you don't agree don't sign. If certain projects 
(ie. the gas plan) are not done yet then lay out a timeframe that the plan 
will be complete.  I want much more in the way of specifics about objectives 
and timeframe.

Thanks for everyone's hard work on this.

John",1,2,,negative_word_score
63,(unknown employee),body,"Attached are the Super Saturday results (offers made ) and a list of 
acceptances, assignments and projected start dates . I will be forwarding you 
the resumes for each of your new hire.   Please feel free to call your new 
hires,  congratulate them and tell them where they will be working for their 
first rotation.  Thanks again for all your help.  Ted",0,1,,negative_word_score
66,(unknown employee),body,"Susan, sorry, but I have just found out I won't be able to do lunch today.  Sorry for the confusion.  Sorry for asking and then backing out.  S",0,1,,negative_word_score
70,(unknown employee),body,"did you talk to christen?  what does she want to do tonight?
e",0,1,,negative_word_score
74,(unknown employee),body,"i will try to get tomorrow.  if not, is another day okay?




Errol McLaughlin@ENRON
01/31/2001 07:46 AM",0,1,,negative_word_score
77,(unknown employee),body,"It is imperative that we have our books flat by 6:00 a.m..  This problem is 
not going to go away.  We need to make sure that before we go home no matter 
what shift you are working that these books are flat, NO EXCUSES.  Everyone 
must contribute and be aware of keeping all the books flat.  Day shift should 
have all their positions flat and if not flat, you need to leave the night 
shift with proper information so that they can flatten out the position.  
Night shift should run the scheduling activity report for each region and 
make sure that every book is flat by 6:00 a.m.  AGAIN THERE ARE NO EXCUSES.",0,7,,negative_word_score
79,(unknown employee),body,"Hey freak-o!  How have you been?  I'm just taking a study break (finals,
ick!) and thought I would say hello.  What's new?  Have you moved into
your place yet?  Let me know if I can come and see it--I'll be home (in
college station) a week from Tuesday...am making a pit stop in Tahoe on
my way home...just gotta get thru these pesky exams first!

Greetings from la-la-land,
eleanor :-)

--
Eleanor Fraser
The Anderson School at UCLA, MBA 2002
Home 310.446.7735
Mobile 310.963.4474",0,1,,negative_word_score
80,(unknown employee),body,"i have not gotten a good response so i think shanna and i are going to stay 
in town.  the weather is going to be fine, hector was just blowing smoke.




Christa Winfrey
08/08/2000 11:36 AM",1,2,,negative_word_score
83,(unknown employee),body,"Hey guys I need help Shawn with Staffing called to schedule some interviews 
for the manager position for 24hr group.  Here are  the following slots that 
we avialable I need to know where to put you at.  So if you would get 
together and decide that would be great.   There will be 2 candidates on 
Thursday just let me know what you decide.  I need to know ASAP today so we 
can get this finalized if you have any questions please let me know.

Monday 8th in EB3127 with Bruno Messer
2:30
3:00
3:30
4:00

Wednesday 10th in EB3127 with John Jamroz
2:30
3:00
3:30
4:00

Thursday 11th in EB3125b with Brad Orosey
2:30
3:00
3:30
4:00

Thursday 11th in EB3127 with Eric Blair
2:30
3:00
3:30
4:00


Thanks
Lisa Shoemake x39194",1,2,,negative_word_score
84,(unknown employee),body,"no thanks.  




Andy Zipper@ENRON
11/28/2000 08:25 AM",0,1,,negative_word_score
87,(unknown employee),body,"Muhsin Muhammed and Elvis Grbac for Jeff Garcia, Raymont Harris, and Wayne 
Chrebet?


Gives you starting QB and depth at RB (all 4 of your RBs will likely not play 
week 1 and maybe 2).

Let me know",0,1,,negative_word_score
91,(unknown employee),body,"Is anybody up for going to Two Rows tonight?  I promise I won't get AS drunk 
tonight.  We'll be there around 8:00.  Be there or be SQUARE!.

Eric",0,1,,negative_word_score
98,(unknown employee),body,did you talk to the person looking for cotton?,0,1,,negative_word_score
100,(unknown employee),body,"So this is how it will work.  Whenever the payment is due (the 18th).  You 
write me a check for $100.  I will pay the $1252.  

You will pay me $100/ month for 13 months ( so you last payment will be made 
to me on October 18th, 2001).
Payments will be due to me on the 18th of every month - NO EXCEPTIONS -  I 
cannot do this deal if you do not pay me on time - I will not make any 
exceptions for you.

Let me know if this is ok with you and I will work up a contract.

-Eric






""Bass, Jason"" <Jason.Bass2@COMPAQ.com> on 09/07/2000 12:47:44 PM",0,4,,negative_word_score
105,(unknown employee),body,"I received the note about the Wellesley recruiting team meeting on Thursday.  
I will look forward to seeing you there. 

Will you be in Dallas next week for the ASE?  I will be there.  I did let 
Melissa know when the dates were announced that I will quietly slip out about 
mid afternoon on Thursday.  Amanda's school open house is Thursday at 7:00, 
and parents will follow their children's schedules and meet all of the 
teachers.  With this being Amanda's   first year in junior high, it is 
important for me to meet the teachers and understand their expectations so 
that I can best support her in school.  Mary Solmonson and Brent from my team 
will be there for the duration.  I look forward to seeing you there, too!  
--Sally",0,1,,negative_word_score
107,(unknown employee),body,"JD,

To follow up on our earlier meeting, attached are the following documents for CG&E:

	- TSA network handbook which summarizes all requirements
	- Request for Network Transmission Service (Network Application)
	- Request to designate a New Network Resource (only required when we are ready to designate a resource)
	- OATT Tariff Attachments that includes Attachment F, Network Service Agreement and Attachment G, Network Operating Agreement
	- CG&E TSA, Transmission Scheduling Agent Agreement

If EPMI does not already have the Network Transmission Agreements in place, then CG&E indicated that the process was to first fill out the Network Application and then they will send the Network Service Agreement and the Network Operating Agreement.  

My contacts at CG&E have been Paul Jett  (513) 287-1770 and Steve Averbeck (513) 287-2876.  The government affairs contact is Gloria Ogenyi x 58202.  

Thanks, 
Jeff",0,1,,negative_word_score
109,(unknown employee),body,"I will be out of the office after noon on Friday, June 9, headed to the hill 
country to pick up one of my daughters from camp.  I will not attend the 
Friday afternoon meeting.  You will be able to reach me on my cell phone, 
713-417-1591, as needed during the afternoon.",0,1,,negative_word_score
111,(unknown employee),body,can't find his name in the address book - you fwd it,0,1,,negative_word_score
122,(unknown employee),body,"Please plan to attend our first CCV Civic Association Meeting of 2002.  We
will meet at Christus Victor Lutheran Church at 7:30 PM, Monday, January 21.
In addition to the regular CCV business meeting, we will have a
Candidate/Political Issues Forum.  The following is a partial listing of the
individuals who have requested to speak:

Mr. Tommy Cones
Mr. Ken Clark
Mr. Mike Clawson
Mr. David Kilpatrick
Mr. Tad Nelson
Mr. Ed Sebesta
Mr. Larry Taylor
Representative from the swim team to discuss the proposed community center

We have asked that each person  speak no longer than 5 minutes.  A question
and answer period will follow the presentations.  It is a compliment to our
neighborhood that we have so many individuals who want to take the time to
inform us of their views.  We ask that you take the time to attend our
meeting and further demonstrate the interest our homeowners have  in our
city and community.

Thank you Peggy for the reminder.  Mary G. Strickland",0,2,,negative_word_score
136,(unknown employee),body,"My daughter has reservations at Kingsway House, 71 Eardley Court. Can you see 
if anyone knows if this place is a disaster? She is going with a girlfriend 
that doesn't have hardly any money so they had to find a place that was cheap 
which worries me no end. Tx Rick",0,1,,negative_word_score
142,(unknown employee),body,"Texas' first football game is this weekend and I have tickets for each of 
you.  I would like to leave around 3:00 on Friday to go to Austin. We will 
come back on Saturday after the game.  

Let me know today if you still want to go.

-Eric",0,1,,negative_word_score
143,(unknown employee),body,"For those of you new to CCV, the Hallisey's sponsor a prime location for
parade viewing.  So why not get up early, head to the Island, and join a few
of your neighbors for a day of fun?  BE SURE TO VOTE FIRST!!  Mary

WHO:  YOU, YOU , YOU AND YOU!!!!!!!

WHEN:  SATURDAY FEB 1, ALL
               DAY LONG AND EVENING

WHY:  MARDI GRAS PARADES CAPPED OFF
            BY THE NIGHT PARADE THAT STARTS
            AT 6:30

WHERE:  45TH AND SEAWALL, JUST TO THE
                  EAST OF GALVESTON BANK
                  (which is on the corner of 45&seawall)

WHAT:
  a..   WE WILL HAVE OUR CAMPERS THERE FOR RESTROOMS,
   BRING;
  a..               YOUR OWN FOOD AND BEVERAGES
  b..                LAWN CHAIRS TO SIT IN,
  c..                YOUR KIDS
  d..               YOUR FRIENDS",0,1,,negative_word_score
147,(unknown employee),body,"Edie,

Here is the updated EOL data for the Texas Region.  
2000 DATA
2000 EOL Trades = 13,500
2000 EOL Volume = 2.5 TCF


2001 DATA
2001 Plan EOL Trades = 17,500
2001 Plan EOL Trades/Month = 1,460
2001 EOL Volume = 3 TCF

Could you please update the plan numbers for Tom?

Thanks,

Eric",0,1,,negative_word_score
152,(unknown employee),body,"Hey Don,

Here is my resume.  Thanks again for the shot.  I can't even tell you how excited I am.  Hopefully, it will all fall in place soon.  Bill Bradford (VP) said he would be available to talk with Fletch if hassles came up.

thanks again,
brant",0,4,,negative_word_score
155,(unknown employee),body,"RSVP:  Yes, I will attend.  I will arrive in San Antonio in time for the 
dinner on Tuesday evening.  Count me out for golf on Wednesday - I don't 
think they would want me to play! 

Breakout Sessions:  SAP Reporting Issues
        Analyst/Associates Program
        (I will be glad to participate in any of the sessions, if there are 
needs to move anyone around) 

Top 4 Objectives for Accounting Group:  Streamline close process
(from a Non-Accountant!!)     Implement data warehouse for flexible reporting
        Increase visible participation in Analyst and Associate recruiting 
and          rotations
        Asssure efficient service from COE (or its replacement),
         providing timely, creative solutions and an extremely high          
degree of excellence

Dietary/Special Needs:    Something chocolate for dessert!!!",0,2,,negative_word_score
158,(unknown employee),body,"I wasn't sure if we needed to send out the report since it was a half holiday 
for most companies, so i opted not to. I didn't send one Monday since it was 
a nerc holiday.  Hopefully she won't call and give you shit about it. Plus we 
didnt have prices in so your guess is much better than mine as to what 
actually happened.
Thanks
Chad",0,3,,negative_word_score
159,(unknown employee),body,"The ClickAtHome team is pleased to announce that Pilot participants may now 
order Internet service from MSN.  MSN offers DSL (Broadband) and Dial-up (56k 
modem) nationwide.  To check the availability of service at your address, 
view prices or to place your order, visit the ClickAtHome Pilot website at:  
http://clickathomepilot.enron.com/    (the website must be launched through 
Internet Explorer).  

MSN's Broadband Satellite is expected to be available in mid 2001.  This 
cutting edge 2-way satellite technology will provide broadband service to 
most of the United States (excluding Alaska and Hawaii).

If you have problems launching the site, please copy and paste 
http://clickathomepilot.enron.com directly into Internet Explorer.

ClickAtHome Team!",0,1,,negative_word_score
161,(unknown employee),body,"Don, could you please confirm receipt.  I have been getting an
undeliverable message.
-----",0,1,,negative_word_score
168,(unknown employee),body,"The Savings Plan Transition Period Ends Early!

We have been working closely with Hewitt Associates to get you access to your Savings Plan account before November 20 and are pleased to announce that the internet site went live as of 8:00 AM yesterday morning, November 13. 

Log on to benefits.enron.com and check out the new website - you will enjoy the new features.

Once again, we have appreciated your patience during the transition period.  

EnronBenefits . . . keeping pace with your lifestyle.",0,1,,negative_word_score
175,(unknown employee),body,"Don,
           I was on vacation early this week. So I couldn't get back to you. If you let me know of a convenient time, we can meet and I can explain what I require. 

Thanks,
Praveen.



From:	Don Baughman/ENRON@enronXgate on 07/17/2001 06:54 AM",0,1,,negative_word_score
178,(unknown employee),body,"[IMAGE]  [IMAGE]   Check out the great rates from Discover(R).  See below to learn how you can get a subscription to AlumniAccess FREE.   CCGBLU00001066   Discover is back in the AlumniAccess Sponsor Program! If you would like to get a free AlumniAccess membership when you qualify for a Discover card, click here  to sign up through our AlumniAccess subscription registration and choose the ""Get AlumniAccess Free"" option.   If you would like to stop receiving our Deal of the Week, please change your email settings on HighSchoolAlumni.com .",1,2,,negative_word_score
179,(unknown employee),body,"JD,

To follow up on our earlier meeting, attached are the following documents for CG&E:

	- TSA network handbook which summarizes all requirements
	- Request for Network Transmission Service (Network Application)
	- Request to designate a New Network Resource (only required when we are ready to designate a resource)
	- OATT Tariff Attachments that includes Attachment F, Network Service Agreement and Attachment G, Network Operating Agreement
	- CG&E TSA, Transmission Scheduling Agent Agreement

If EPMI does not already have the Network Transmission Agreements in place, then CG&E indicated that the process was to first fill out the Network Application and then they will send the Network Service Agreement and the Network Operating Agreement.  

My contacts at CG&E have been Paul Jett  (513) 287-1770 and Steve Averbeck (513) 287-2876.  The government affairs contact is Gloria Ogenyi x 58202.  

Thanks, 
Jeff",0,1,,negative_word_score
187,(unknown employee),body,"When entering deals into the P&L please use the drop down box for the 
counterparties.  Rao has developed a comparison activity report that will 
compare enpower to the p&l for us.  If we can enter our deals using the drop 
down  box then he can finish cleaning up the last few bugs so that we can get 
it into production in the next couple of days.

Thanks
Kayne",0,1,,negative_word_score
190,(unknown employee),body,"Inspected 3 filter cases down stream of Inlet separator at the SLX plant, all 
were still clean and dry. Got a slug of liquid in the Inlet filter separator 
at the SLX about 90 gallons. Did not get any further down stream, also took 
sample of it. See attached for our sample results for this month. PG&E are 
having problems with their phone lines so Sherwood labs could not fax their 
results. Therefor I don't have their results on the spred sheet.I will send 
them out as soon as I get them. Thanks,Randy",0,5,,negative_word_score
191,(unknown employee),body,"Hi Don,

You have been unsubscribed from eValueMarketing  - N60

If you did not request to be unsubscribed someone has requested it for you.

You were subscribed as   : don.baughman@enron.com
You were unsubscribed by : Don.Baughman@enron.com

If you wish to resubscribe, send email to:
mailto:sub-11-7-10825134-x3PaCL23NeeoTqbZ-299@www0.humornetwork.com

Sincerely,
EValue Marketing",0,2,,negative_word_score
193,(unknown employee),body,"I was thinking that if we run trips on offense the other team won't know what 
hit them.  So I will draw up some plays.


What do you think?",0,1,,negative_word_score
194,(unknown employee),body,"Account number - 753190032

Dear DON BAUGHMAN,

It is that time of year again! Please take a moment to renew your FREE
subscription to CFO Magazine.

CFO gives you the extra financial tools needed in today's market-up to
minute buying advice, case histories, business and financial news, ideas,
strategies and tactics.

To continue receiving CFO Magazine, please use the following link to the
CFO subscription form.

http://www.responsetrack.net/lnk/halldata1/?138RP02QEED

Renew today and join the ranks of corporate leaders who make CFO the most
requested magazine in business.

Sincerely,

Kevin M. Quinlan
Publisher

CFO respects your privacy. If you would like to unsubscribe
from future emails please click on the following link:
http://remove.responsetrack.net/?138RP02QEED",0,2,,negative_word_score
197,(unknown employee),body,"The Savings Plan Transition Period Ends Early!

We have been working closely with Hewitt Associates to get you access to your Savings Plan account before November 20 and are pleased to announce that the internet site went live as of 8:00 AM yesterday morning, November 13. 

Log on to benefits.enron.com and check out the new website - you will enjoy the new features.

Once again, we have appreciated your patience during the transition period.  

EnronBenefits . . . keeping pace with your lifestyle.",0,1,,negative_word_score
200,(unknown employee),body,"Hey Dad,

Did you get the link I sent on the Def Ann?  If so, what do you think?  Is there anything I missed?

I am still waiting on a couple of RSVPs for the bachelor party so I will let you know on the transport.

How are things otherwise?
-E",0,1,,negative_word_score
201,(unknown employee),body,"Did you get 1 & 3 ?

DB",0,1,,negative_word_score
202,(unknown employee),body,Remember - No Kisses!,0,1,,negative_word_score
204,(unknown employee),body,"George has no value after last weeks games - I will give you garner and 
toomer for taylor




""Bass, Jason"" <Jason.Bass2@COMPAQ.com> on 09/26/2000 12:35:08 PM",0,1,,negative_word_score
205,(unknown employee),body,"Life is busy at Enron and I literally receive hundreds of e:mails every 
week.  This is not the best way to communicate with me on priority issues.  I 
have looked at your proposal and would be interested in learning more.  Can 
you provide more details beyond your presentation?  What is your background 
and experience?  Can you provide information on your company?   




ConfirmCorp@aol.com on 08/01/2000 09:16:40 AM",0,3,,negative_word_score
225,(unknown employee),body,"I was probably hopelessly stuck in traffic when we were to talk, and did not 
even realize that the time had passed. Construction on my route in to work is 
to continue until early January, and my alternate routes have proven to 
busts.  

I will call you tomorrow and see if I can catch you between issues.

Thanks for making the trip to Houston with your crew last week.  It was great 
to have people from so many different offices, supporting so many different 
commodities -- and yet with so many similar issues.  Your support for the 
interaction between offices is so valuable.  Thanks again for all of your 
efforts.  --Sally 




Mike Jordan
11/01/2000 08:57 AM",1,5,,negative_word_score
232,(unknown employee),body,"http://www.energynewslive.com

This website deserves to be bookmarked on your desktop.  Logon  to the site 
for the first time and the prompts guide you through the log on setup (user 
name and password).  There is no fee to access this site.


Required applications to run: xscope, windows media player, among others...",0,1,,negative_word_score
233,(unknown employee),body,"Sally,

Just something from a recruiting prospective for us to think about, 
remembering the situation from last fall of George making the mistake of 
extending verbal offers, quoting incorrect salaries, and the difference being 
recovered by your RC, I wanted to bring the potential of a residual OU salary 
issue to your attention.  

The salary being offered for another internship or full-time position, which 
ever applies, may appear (to the OU candidates) to be wrong.  Interns will 
enter the program at the same pay rate, $3,000 monthly and the full-time 
analysts at 40k.  As you know, both salaries are non-negotiable for 
consistency amongst the program participants.  

I'm sure questions will come up regarding compensation and thought we could 
discuss the inevitable.  I would really like your input on how to ""soften the 
blow"".

I look forward to your response.
Thanks
Shelly",0,4,,negative_word_score
234,(unknown employee),body,"Sally and Bob, 
Please visit your GIS profile and update any necessary information for the 
January 8th, 2001 meeting.    I've outlined the two steps that you need to 
take to reach the GIS information  window.    Please call me @ 36703 if I can 
be of assistance. 
Thanks, hgm

Go to this screen first on our intranet and click on ""HR Global 
Applications"".   This will take you to the GIS environment. 


Click the GIS tab and update your data for the January 8th meeting if 
necessary.   If you need to update any information click the issues tab on 
the top right hand side and report any required changes.     Just to be safe, 
let me know what your requested changes are so that I can follow up on their 
update.",0,1,,negative_word_score
238,(unknown employee),body,"Thought you both would appreciate this one- with both of your ""women drivers"" 
comments all the time.",0,1,,negative_word_score
254,(unknown employee),body,"Hey guys,

I've updated the transmission rates table for May - here is the location:

M:ElectricEast Volume MgmtTransmissionTransmission Rates

If there is a better spot for this to make it more accessible just let me 
know and I can put a copy of it whereever.

Couple of other trends I've noticed that hopefully can be corrected...

First Energy transmission is now and has been for a while under the 
counterparty American Transmission Systems, Inc. (ATSI)
Duke transmission should be under the Duke counterparty Duke Electric 
Transmission (DUKEELETRA)
Georgia's ancillary service charges have changed although their website has 
not be updated - price changed from $2.57 to $2.49

Please pass this along to the rest of the group, if any of you have any 
questions or suggestions - don't hesitate to call.

Thanks,
Michael

AOL IM - mejake007
steno - 635
x35098",0,1,,negative_word_score
255,(unknown employee),body,"did she try your patience?


   
	Enron North America Corp.
	
	From:  Shanna Husser @ EES                           08/30/2000 10:31 AM",0,1,,negative_word_score
256,(unknown employee),body,"This is a copy of Lloyd's Business plan please do not distribute to anyone 
else.",0,1,,negative_word_score
257,(unknown employee),body,"hey thanks.  lsu has a lot to look fwd to next season with the studs you 
recruited.  what did you think of mack?
i got the check but signed it over to paul lucci for another gambling debt - 
he said he hasn't cashed it yet but will by the end of the week.

eric




Chad Landry
02/12/2001 09:57 AM",0,1,,negative_word_score
259,(unknown employee),body,"Please print attachment and make sure that e:mail addresses are included for 
the students.  Call Ted if any problems.  Thanks. We will need this to send 
invitations to students and Ted (plus some Enron folks) to a tour of Enron 
Field and dinner on January 31.  Let's talk about arranging details.  thanks.",0,1,,negative_word_score
260,(unknown employee),body,"On May 15, 2001, National Grid filed a petition for declatory order in Docket No. EL01-80 asking the FERC to find that it is not a ""market participant"" with respect to the ARTO region in order that it can seek to become the Managing Member of the Alliance RTO.  The filing was noticed and comments/protests are due June 14, 2001.

National Grid, a company that operates in New England, claims that it retains only insignificant generation assets and wholesale marketing operations in regions remote from the Alliance region (i.e. New England and New York after the NIMO merger is completed).  It has minor ""last resort"" sales obligations which they expect to terminate by 2005.  National Grid will not be providing ancillary services to the ARTO region.

Let me know if there are any concerns with this filing that EPMI should raise to the FERC.",0,3,,negative_word_score
265,(unknown employee),body,"Did u get this 1?

DB",0,1,,negative_word_score
271,(unknown employee),body,"Could you please schedule a meeting for Wednesday, Thurs, or Friday with the 
usual parties?  

Thanks,

Eric",0,1,,negative_word_score
275,(unknown employee),body,the bitch would like you to change the 1.5 MM bid/offer to 7 MM,0,1,,negative_word_score
279,(unknown employee),body,"Glad you sent a note - as crazy as life is at our house right now, I did not 
get the message from Tammy.  Lots of catch up in the office last week, which 
will continue this week.  I think that Chris is home by now, and I am sure 
that you and Erica are glad to have the additional company.  We are starting 
to talk birthday with Meagan now.  I will get back with you in a couple of 
days after Meg and I have gone through the JA catalogue.  Thanks for asking.  
--Sally 




""White, Cara"" <CWhite@texas.usta.com> on 05/01/2000 04:35:43 PM",0,2,,negative_word_score
282,(unknown employee),body,"John,

Regarding the employment agreement, Mike declined without a counter.  Keith 
said he would sign for $75K cash/$250 equity.  I still believe Frank should 
receive the same signing incentives as Keith.  

Phillip",0,1,,negative_word_score
286,(unknown employee),body,"As you may well know we are being pushed by Arthur Andersen to bring our 
prudency policy in line with that of North America.  In response to these 
pressures, we have conducted a thorough review of our prudency policy and 
have determined that all discretionary prudency and general reserves 
(including VAR based prudency) should be eliminated. Deal specific prudency 
will, however, remain. In order to avoid any arguments with AA near the 
quarter end the release to the London summary DPR should happen today for the 
August month end.

Apologies for the short notice but the final decision was only made very 
recently. Please pass this message around to those people in your groups who 
are not on the above mail list so that 'everyone' is aware of the change.

If there are any questions please let me know.


James",0,2,,negative_word_score
287,(unknown employee),body,"Attached is Bob Superty's summary of the impact on the late noms today.  We 
do not anticipate any pipeline penalties.  On those pipes where the nom type 
is ""Intraday"", there may be some pipeline imbalance created for us to work 
through.  The logistics staff will have a lot of work to do on Thursday 
morning to contact customers asking them to renom on the pipes where our noms 
were late.  Overall, these pipelines worked well with us today.  
Let me know if you have any questions.  --Sally",0,3,,negative_word_score
293,(unknown employee),body,"(See attached file: travis resume.doc)
----------------------------------------------------------------
The information transmitted is intended only for the person or entity to
which it is addressed and may contain confidential and/or privileged
material.  Any review, retransmission, dissemination or other use of, or
taking of any action in reliance upon, this information by persons or
entities other than the intended recipient is prohibited.   If you received
this in error, please contact the sender and delete the material from any
computer.
 - travis resume.doc",0,1,,negative_word_score
297,(unknown employee),body,"can't make it - i'm sick


   


From:  Bryan Hull                                                             
10/16/2000 01:41 PM",0,1,,negative_word_score
300,(unknown employee),body,"[IMAGE]  [IMAGE]   Introducing the HighSchoolAlumni Deal of the Week. To thank you for being a valuable member of our community, we will occassionally present you with special offers and exciting products.  CCGBLU00001066   If you would like to stop receiving our Deal of the Week, please change your email settings on HighSchoolAlumni.com .",0,1,,negative_word_score
308,(unknown employee),body,"Ted / Sally 

We took as an action from the last meeting the need to re-authorise all 
traders within the metals global businesses, sign this list off with the 
EnronMetals Managing Directors and accompany this list with a note 
highlighting the dangers of non authorised trading activity.

Due to the storm here yesterday we had to delay the operational control 
meeting with the MDs until today and therefore hope to have this out tomorrow 
with effect from COB 31 st.

Apologies for the delay - any issues please call

Regards

Mike",0,3,,negative_word_score
313,(unknown employee),body,"Don,
I got a call from another Hourly Trading floor that uses Enron online and is
looking to do some hourly deals at Cinergy.
He said he has not seen anything for over a month.  Do you think you guys
will put the TNE numbers back up, or if they are where should he be looking.

How was Vegas?

Regards,
Jeff
713-647-8802",0,1,,negative_word_score
318,(unknown employee),body,"We will send you these three new hourly indexes at  no charge until March 19, 
when we formally launch them on our Web site, at www.tradersnewsenergy.com.
?
Please contact me with any feedback or questions.  Thank you.
?
Bobette  Riner???????????????????????????????  
Director of Indexes
TradersNews Energy
713/647-8690
FAX:  713/647-7552
cell: 832/428-7008
bobette.riner@ipgdirect.com
http://www.tradersnewsenergy.com
?
?
 - comedhrly030201.doc
 - tvahrly030201.doc
 - ercothrly030201.doc",0,1,,negative_word_score
